작성일자,공급자명,공급가액,세액,비고
2025-01-15,(주)알파문구,150000,15000,사무용품
2025-01-20,(주)베타서비스,1200000,120000,소프트웨어 구독
2025-02-05,미래농산,320000,0,농산물 (면세)
2025-02-11,(주)감마전력,85400,8540,전기요금
2025-02-22,(주)알파문구,82000,8200,복사용지
2025-03-10,오메가 운송,450000,45000,물류비
2025-03-18,(주)베타서비스,1200000,120000,소프트웨어 구독
2025-04-01,미래농산,280000,0,농산물 (면세)
2025-04-15,(주)알파문구,210000,21000,비품 구매
2025-04-25,델타 컨설팅,3000000,300000,경영 자문
2025-05-09,(주)감마전력,91200,9120,전기요금
2025-05-16,오메가 운송,520000,52000,퀵서비스
2025-05-21,(주)베타서비스,1200000,120000,소프트웨어 구독
2025-06-05,미래농산,410000,0,농산물 (면세)
2025-06-12,델타 컨설팅,1500000,150000,프로젝트 자문
2025-06-20,(주)알파문구,55000,5500,문구류
